name,type,description,address,lat,lng,opening_hours,source_url,indoor_outdoor,indoor_outdoor_source
Pinnacle@Duxton,attraction,The soaring lines and stunning views of majestic residential estate Pinnacle at Duxton will make you forget your fear of heights. Almost.,1 Cantonment Road,1.274999999753642,103.84141999971553,"50th storey Skybridge, Daily, 9am –10pm",http://www.pinnacleduxton.com.sg,outdoor,llm
Hajjah Fatimah Mosque,attraction,The Hajjah Fatimah Mosque will captivate you with its intriguing blend of cross-cultural architectural influences.,4001 Beach Road,1.3029999998983477,103.86285000001742,"Daily, 9am –9pm",www.yoursingapore.com/en/see-do-singapore/architecture/historical/hajjah-fatimah-mosque.html,indoor,rule
Haw Par Villa: Singapore Theme Park,attraction,Embark on an unforgettable journey into Chinese folklore and mythology at the Haw Par Villa theme park.,262 Pasir Panjang Road,1.286000000346512,103.78313999984512,"Daily, 9am – 7pm",www.yoursingapore.com/en/see-do-singapore/culture-heritage/heritage-discovery/haw-par-villa.html,outdoor,rule
NUS Baba House - Singapore Peranakan Architecture,attraction,"This heritage house lends rich insight into Singapore's Peranakan community, thanks to beautifully preserved architecture and artefacts.",157 Neil Road,1.2769999999169914,103.83731000001244,"Visits are by appointment only.Visitors must sign up in advance for heritage tours which fall on:Monday, 2pm – 3pm,Tuesday, 6.30pm – 7.30pm,Thursday, 10am – 11am,Saturday, 11am – 12pm",http://www.nus.edu.sg/museum/baba,indoor,llm
Hong San See Temple Singapore,attraction,"Restored by expert craftsmen from China, the Hong San See temple has been brought back to its full glory.",31 Mohamed Sultan Road,1.2930000001957571,103.8412220004295,Daily,www.yoursingapore.com/en/see-do-singapore/architecture/historical/hong-san-see.html,indoor,rule
"Chinese Heritage Centre, Singapore",attraction,The Chinese Heritage Centre in Singapore is where you can find out more about overseas Chinese communities and their culture.,12 Nanyang Drive,1.3440000000974517,103.68398000019576,"Monday to Friday, 9.30am – 5pm,Saturday and Sunday, 10am –5pm, Closed on public holidays",http://chc.ntu.edu.sg/,indoor,rule
Kampong Glam & Malay Culture in Singapore,attraction,"Discover Kampong Glam's rich history, living traditions, excellent eateries and trendy shops in this vibrant neighbourhood.",3 Muscat Street,1.3019999997246097,103.8595000000728,,http://www.kampongglam.org.sg/,outdoor,llm
Contemporary Arts Center,attraction,"This university arts research centre explores contemporary art through exhibitions, public programmes, residencies and research programmes.",43 Malan Road,1.275000000179779,103.80449999961294,"Tuesday to Sunday, 12pm – 7pm Friday, 12pm – 9pm , Closed on Monday. Open on public holiday.",http://www.ntu.ccasingapore.org/,indoor,rule
"The Substation, Singapore Contemporary Art Centre",attraction,This experimental arts centre gives a space for contemporary artists to try out new concepts.,45 Armenian Street,1.294000000221489,103.8493399996608,"The Substation Box Office ,Monday to Friday, 12pm - 2pm and 5pm - 8pm.Saturday and Sunday, open an hour prior to weekend showtimes. Closed on public holidays.The Substation Gallery Daily, 12pm – 9pm Closed on public holidays",http://www.substation.org,indoor,rule
"Red Dot Design Museum, Singapore",attraction,"This museum holds more than 1,000 award-winning products, communications and concepts that will delight design fans.","28 Maxwell Road, Red Dot Traffic",1.277999999836356,103.8457199997116,"Monday - Friday, 11am – 6 pm, Saturday and Sunday, 11am – 8 pm",http://museum.red-dot.sg,indoor,rule
Singapore Art Museum,attraction,"Singapore Art Museum is Singapore’s contemporary art museum, focused on Southeast Asian contemporary art.",71 Bras Basah Road,1.2969999999964028,103.85106800020364,"Monday to Thursday, 10am – 7pm, Friday, 10am – 9pm",http://www.singaporeartmuseum.sg,indoor,rule
Esplanade Theatres on the Bay,attraction,Catch a non-stop line-up of world-class performances at Singapore’s premier arts centre.,1 Esplanade Drive,1.2899999997642684,103.8552800002768,"Box Office Opening Hours Daily, 12pm – 8.30pm, The Esplanade Box Office will open 1 hour prior to show commencement for shows before 12 noon and will remain open up to half an hour after show commencement for shows starting after 8.30pm.",http://www.esplanade.com/index.jsp,indoor,llm
"National Design Centre, Singapore",attraction,"The National Design Centre is the nexus for all things design. It hosts design exhibitions, events and programmes that will quicken the pulse of design lovers.",111 Middle Road,1.2989999996335708,103.85350999960748,"Daily, 9.00am – 9.00pm",http://www.designsingapore.org/ndc/About_NDC.aspx,indoor,rule
Victoria Theatre Singapore,attraction,"After a four-year refurbishment, the Victoria Theatre and Concert Hall has since reopened, with its first official concert held there in August 2014.",11 Empress Place,1.2879999996701443,103.85164100010331,"Daily, 10am – 9pm",https://www.nac.gov.sg/arts-spaces/nac-arts-venues,indoor,rule
"NUS University Museum, Singapore",attraction,Get a deeper insight into Asian art and artefacts at this museum on the campus of the National University of Singapore.,"50 Kent Ridge Crescent, National University of Singapore",1.3020000001066534,103.77268600037716,"Tuesday to Friday, 10am – 7.30pm,Saturday and Sunday, 10am – 6pm",http://www.nus.edu.sg/cfa/museum/,indoor,rule
Sun Yat Sen Memorial Hall,attraction,This revamped museum is a fitting tribute to the intriguing life and times of Chinese revolutionary leader Dr Sun Yat Sen.,12 Tai Gin Road,1.3280000004372896,103.84691999995589,"Tuesday to Sunday, 10am – 5pm, Closed on Monday",http://www.sysnmh.org.sg,indoor,llm
Asian Civilisations Museum & Singapore Museum,attraction,"Housed in a historical building by the Singapore River, this museum tells the stories of Asian civilisations through its permanent collections.",1 Empress Place,1.2870000003613598,103.85172300005618,"Saturday to Thursday, 10am – 7pm, Friday, 10am – 9pm",http://acm.org.sg/,indoor,rule
National Museum of Singapore,attraction,Singapore’s oldest museum is a progressive showcase of the country’s history and culture.,93 Stamford Road,1.297000000312191,103.84882999956712,"Singapore History Gallery Daily, 10am – 6pm,Last admission at 5.30pm.Singapore Living Galleries Daily, 10am – 8pm Free admission from 6pm –8pm , Last admission at 7.30pm",http://nationalmuseum.sg/,indoor,rule
The Japanese Cemetery Park,attraction,"Located in Hougang, this is the largest Japanese cemetery in Southeast Asia and the burial ground of Singapore’s early Japanese community.",825B Chuan Hoe Avenue,1.3640000004237094,103.87583999995007,Daily,www.yoursingapore.com/en/see-do-singapore/history/memorials/japanese-cemetery-park.html,outdoor,rule
"Dalhousie Obelisk, a Singapore Landmark",attraction,Dalhousie Obelisk at Empress Place is a famous architectural landmark in Singapore.,1 Empress Place,1.287000000031055,103.8523800002118,Daily,www.yoursingapore.com/en/see-do-singapore/history/memorials/dalhousie-obelisk.html,outdoor,rule
Raffles Statue – Sir Stamford Raffles Landing Site,attraction,"The sculpture depicts Sir Stamford Raffles, founder of modern Singapore. Two statues exist, at the Raffles Landing Site and Empress Place.","Raffles Landing Site , 59 Boat Quay",1.287999999873069,103.85084499992789,Daily,www.yoursingapore.com/en/see-do-singapore/history/memorials/sir-raffles-statue-landing-site.html,outdoor,rule
Singapore Philatelic Museum,attraction,The Singapore Philatelic Museum offers windows into Singapore and the world through stamps.,23-B Coleman Street,1.2930000000949322,103.84870000020112,"Monday, 1pm – 7pm,Tuesday to Sunday, 9.30am – 7pm",http://spm.org.sg,indoor,rule
Old Ford Factory Singapore Museum,attraction,The Old Ford Factory holds an archive of memories about Singapore's wartime occupation by the Japanese.,351 Upper Bukit Timah Road,1.3519999997259542,103.76883000026211,"Monday to Saturday, 9am – 5.30pm,Sunday, 12pm – 5.30pm",http://www.nas.gov.sg/moff/Home.aspx,indoor,rule
Singapore Coins and Notes Museum & Museum Singapore,attraction,The rare collection of currencies on display here tells Singapore’s story through the money it has used over the years.,"40 Pagoda Street, Level 1",1.2830000002936524,103.844519999686,"Daily, 10am – 8pm",http://www.singaporecoinsandnotesmuseum.com/index1.php,indoor,rule
Singapore City Gallery,attraction,The Singapore City Gallery tells the story of the city’s physical transformation.,"45 Maxwell Road, The URA Centre",1.2800000002552012,103.8451299996125,"Monday to Saturday, 9am – 5pm",http://www.ura.gov.sg/uol/citygallery.aspx,indoor,rule
Changi Museum Singapore,attraction,Changi Museum provides an emotional exploration of Singapore’s wartime history during the Japanese Occupation.,1000 Upper Changi Road North,1.361999999672771,103.97402999980378,"Daily, 9:30am – 5pm,(Last admission: 4.30pm)",http://www.changimuseum.sg,indoor,rule
MINT Museum of Toys Singapore & Toy Museum,attraction,This toy museum will delight both adults and kids with the vast collection of vintage toys and memorabilia from around the world.,26 Seah Street,1.2960000001675374,103.85439000040034,"Daily, 9.30am – 6.30pm",http://www.emint.com,indoor,rule
Lim Bo Seng Memorial,attraction,This gazetted national monument at Esplanade Park commemorates one of Singapore’s heroes from World War II.,"Esplanade Park, Connaught Drive",1.28800000012399,103.85302700009542,Daily,http://www.nhb.gov.sg/places/sites-and-monuments/national-monuments/esplanade-park-memorials,outdoor,rule
Universal Studios Singapore™ Theme Park,attraction,Step into the glamorous world of movies at this world-class theme park located within Resorts World Sentosa™.,"8 Sentosa Gateway, Sentosa Island",1.254000000047537,103.82380800006612,Open daily at 10am.Closing time varies. Please visit the official website for more information.,http://www.rwsentosa.com/language/en-US/Homepage/Attractions/UniversalStudiosSingapore,outdoor,rule
Singapore Science Centre,attraction,This enlightening attraction holds the largest collection of educational materials devoted to science in Singapore.,15 Science Centre Road,1.3330000002550502,103.73587200016765,"Science Centre Singapore Daily, 10am – 6pm(last admission: 5.15pm) .Omni Theatre Daily, 12pm – 6pm (last show: 6pm) . Snow City Daily, 10am – 6pm (last admission: 5pm) School and public holidays, 10am – 7pm (last admission: 6pm)",http://www.science.edu.sg/Pages/SCBHome.aspx,indoor,rule
Fuk Tak Chi Museum & Places of Interest,attraction,Fuk Tak Chi Museum was once the oldest Chinese temple in Singapore and is an elegant example of restored architecture in Chinatown.,76 Telok Ayer Street,1.2830000000414443,103.84886999959404,"Daily, 10am – 10pm",http://www.fareastsquare.com.sg/home/index.aspx?key=fuktakchimuseum,indoor,rule
Katong Antique House Singapore: Peranakan Heritage,attraction,"Step into this fully restored bona fide Peranakan family home, and admire the many antiques and heirlooms worthy of any museum collection.",208 East Coast Road,1.3070000004423514,103.90714000043164,"Daily, 11am – 4.30pm",www.yoursingapore.com/en/see-do-singapore/culture-heritage/heritage-discovery/katong-antique-house.html,indoor,llm
Chinese Garden Singapore,attraction,A tranquil patch of imperial China in the west of Singapore is pleasant respite from the bustle of the city.,1 Chinese Garden Road,1.3390000002544793,103.7299999996923,"Daily, 6am – 11pm",http://www.nhb.gov.sg/resources/virtual-exhibitions-and-tours/walking-through-heritage/chinese-garden,outdoor,rule
East Coast Park Singapore,attraction,"With so many attractions packed into this 15-km stretch of beaches, you’ll never run out of things to do.",Along East Coast Parkway and East Coast Park Service Road,1.3010000001624495,103.91218699991474,,http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=parks&id=14&Itemid=371,outdoor,rule
Fort Canning Park,attraction,"Whether you’re a history buff, music fan or nature lover, this historic landmark on a hill is full of surprises.","Bounded by Hill Street, Canning Rise, Clemenceau Avenue and River Valley Road",1.294999999918433,103.84650899995276,,http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=parks&id=16Th,outdoor,rule
"Kusu Island, Singapore",attraction,"If you’re looking for local heritage off the beaten track with a good dash of nature, Kusu Island hits the spot.",Kusu Island,1.223000000366299,103.86052300023825,,http://www.sentosa.com.sg/en/nature/southern-islands/kusu-island/,outdoor,rule
"Jurong Bird Park, Singapore: Attractions & Things to Do",attraction,"Jurong Bird Park has almost every species to impress avian lovers, along with fun exhibits, interactive shows, and of course, its charming residents.",2 Jurong Hill,1.3189999996204014,103.70644199958228,"Daily, 8.30am - 6pm",http://www.birdpark.com.sg,outdoor,rule
HortPark,attraction,Lose yourself in this dreamscape of stunning gardens that will make you forget the bustle of city.,33 Hyderabad Road,1.2789999999040045,103.79972399991794,"Daily, 6am –10pm",http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=parks&id=17&Itemid=73,outdoor,rule
Adventure Cove Waterpark™ Singapore,attraction,Make a big splash at this aquatic adventure park at Resorts World™ Sentosa.,"8 Sentosa Gateway, Sentosa Island",1.2570000004048696,103.81952500018512,"Daily, 10am – 6pm",http://www.rwsentosa.com/language/en-US/Homepage/Attractions/MarineLifePark/AdventureCoveWaterpark,outdoor,rule
Singapore River: History & Culture Tours,attraction,"Get to know historic Singapore River and its famous quays: Boat Quay, Clarke Quay and Robertson Quay. After all, this is where it all began.",10 Eu Tong Sen Street,1.2880000004068544,103.8467600000216,,http://singapore-river.com/,outdoor,rule
Joo Chiat/Katong: Singapore Peranakan Neighbourhood,attraction,"Discover Peranakan culture as you stroll past heritage shophouses, quaint stores and eateries in this charming corner of eastern Singapore.",113 East Coast Road,1.3060000002637857,103.90447999980002,,www.yoursingapore.com/en/see-do-singapore/places-to-see/joochiat-katong.html,outdoor,rule
"Sentosa Island, Singapore: Leisure & Attractions",attraction,"Sentosa Island is Singapore’s favourite leisure destination with exciting attractions, golden beaches, luxe retreats and the country’s first integrated resort.",33 Allanbrooke Road,1.2489999998116283,103.82809000041745,,http://www.sentosa.com.sg,outdoor,rule
Chinatown Singapore: History & Culture,attraction,"Singapore’s historic Chinatown is a bustling mix of old and new, filled with traditional shops and markets as well as cool stores and cafes.",2 Banda Street,1.2820000001680132,103.84377099955948,,http://www.chinatown.sg/,outdoor,llm
Buddha Tooth Relic Temple & Museum in Singapore,attraction,This Tang-styled Chinese Buddhist temple in Chinatown gets its name from what the Buddhists regard as the Sacred Buddha Tooth Relic.,288 South Bridge Road,1.2820000003099783,103.84438000032264,"Daily, 7am – 7pm",http://www.btrts.org.sg/,indoor,rule
Labrador Nature Reserve,attraction,"With its rich biodiversity and war relics, nature lovers and history enthusiasts will find plenty to do at Labrador Nature Reserve.",Labrador Villa Road,1.2660000003513552,103.80194400025552,,http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=naturereserves&id=48,outdoor,rule
Marina Bay Singapore: Attractions & Things to do,attraction,"Marina Bay represents all things modern and super-stylish, from trendy dining destinations to exciting leisure spots.",11 Marina Boulevard,1.2799999995467486,103.85645400029692,,http://www.marina-bay.sg,outdoor,rule
"Marina Bay Sands, Singapore",attraction,"This iconic integrated resort boasts luxury accommodations, upscale shopping and an infinity pool with unparalleled views of the city.",10 Bayfront Avenue,1.2839999999560645,103.85898999984693,Opening hours varies. Please visit the official website for more information.,http://www.marinabaysands.com/index.html,outdoor,rule
Chek Jawa,attraction,"A world away from shopping malls and glitzy hotels, this natural wonder is one of Singapore’s richest eco-systems.","Chek Jawa, Pulau Ubin",1.4079999997246015,103.96371000011354,,https://www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/pulau-ubin-and-chek-jawa/what-to-see/about-chek-jawa,outdoor,llm
"Merlion Park, Singapore: Attractions & Things to Do",attraction,"Half-fish and half-lion, the iconic Merlion resides at the waterfront Merlion Park.",One Fullerton,1.2869999999610218,103.8545519996534,,www.yoursingapore.com/en/see-do-singapore/recreation-leisure/viewpoints/merlion-park.html,outdoor,rule
Marina Bay Sands® SkyPark,attraction,"The Marina Bay Sands<sup>®</sup> SkyPark is a roof like no other, perched 200 metres in the air with an infinity pool and observation deck in the clouds.","Level 57, 10 Bayfront Avenue",1.2830000003284543,103.86081000028442,"Monday to Thursday, 9.30am - 10pm.Friday to Sunday, 9.30am - 11pm",http://www.marinabaysands.com/sands-skypark.html,outdoor,rule
"Resorts World Sentosa, Singapore",attraction,Experience endless excitement at Resorts World Sentosa with a variety of attractions and entertainment hot spots.,"8 Sentosa Gateway, Sentosa Island",1.2570000000417385,103.82033000043587,Opening hours differ for the various attractions.,http://www.rwsentosa.com,outdoor,rule
Singapore Garden & Singapore Park,attraction,This 10-km stretch of connecting trails lets you walk among the trees to observe a wide variety of flora and fauna in their natural habitat.,"Henderson Road, Mount Faber Park, Telok Blangah Hill Park",1.2810000003160744,103.81758899996797,,www.yoursingapore.com/en/see-do-singapore/nature-wildlife/parks-gardens/the-southern-ridges.html,outdoor,rule
Sungei Buloh,attraction,This ecological wonder will transport you into a world rich in animal and plant life.,301 Neo Tiew Crescent,1.4469999996456566,103.73014900005391,,https://www.nparks.gov.sg/sbwr,outdoor,llm
S.E.A. Aquarium,attraction,"Immerse yourself underwater at the S.E.A. Aquarium™ and discover more than 100,000 marine animals.","8 Sentosa Gateway, Sentosa Island",1.2570000002343933,103.81949299993632,Open daily at 10am.Closing time varies. Please visit the official website for more information.,http://www.rwsentosa.com/language/en-US/Homepage/Attractions/MarineLifePark,indoor,rule
